"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"96","CHI NHÁNH CÔNG TY CỔ PHẦN BAO BÌ VÀ IN NÔNG NGHIỆP TẠI HƯNG YÊN","0101508664-002","Đang hoạt động"
"97","CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ ĐỊNH GIÁ EQ - HÀ NỘI","0101904467","Đang hoạt động"
"98","Không tìm thấy","0305723148","Không tồn tại / Lỗi tra cứu"
"99","Không tìm thấy","2500726308","Không tồn tại / Lỗi tra cứu"
"100","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM- CHI NHÁNH CHÍ LINH","0100112437-172","Đang hoạt động"
"101","Không tìm thấy","0101744118","Không tồn tại / Lỗi tra cứu"
"102","Không tìm thấy","0101365991","Không tồn tại / Lỗi tra cứu"
"103","CÔNG TY TNHH NHỰA GIA HÒA","0305992006","Đang hoạt động"
"104","CÔNG TY TNHH KỸ THUẬT VÔ CỰC","0109570209","Đang hoạt động"
"105","Không tìm thấy","0100110768-030","Không tồn tại / Lỗi tra cứu"
"106","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ BÌNH KHÁNH","0302202210","Đang hoạt động"
"107","Không tìm thấy","0108314202","Không tồn tại / Lỗi tra cứu"
"108","Không tìm thấy","0100101114-042","Không tồn tại / Lỗi tra cứu"
"109","Không tìm thấy","2300243293","Không tồn tại / Lỗi tra cứu"
"110","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - KỸ THUẬT TOÀN ẤN","0303075477","Đang hoạt động"
"111","CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAKATA INX VIỆT NAM TẠI BẮC NINH","0303177976-003","Đang hoạt động"
"112","Không tìm thấy","0315766687","Không tồn tại / Lỗi tra cứu"
"113","CÔNG TY TNHH TOKYO SEISAKUSHO VIỆT NAM","0314385985","Đang hoạt động"
"114","CÔNG TY TNHH THƯƠNG MẠI NỘI THẤT PHÚC THỊNH","0110335506","Đang hoạt động"
"115","Không tìm thấy","2300489000","Không tồn tại / Lỗi tra cứu"
"116","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"117","CÔNG TY TNHH THƯƠNG MẠI IN VÀ SẢN XUẤT BAO BÌ AN THÀNH PHÁT","0105824371","Đang hoạt động"
"118","CÔNG TY TNHH TRỤC IN XINYUAN (MIỀN BẮC)","2301175173","Đang hoạt động"
"119","Không tìm thấy","0315149116","Không tồn tại / Lỗi tra cứu"
"120","Không tìm thấy","0310368280","Không tồn tại / Lỗi tra cứu"
"121","Không tìm thấy","0108201093","Không tồn tại / Lỗi tra cứu"
"122","Không tìm thấy","0104777432","Không tồn tại / Lỗi tra cứu"
"123","Không tìm thấy","0100111948-104","Không tồn tại / Lỗi tra cứu"
"124","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM - CHI NHÁNH THANH XUÂN","0100112437-071","Đang hoạt động"
"125","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN Á CHÂU","0301452948","Đang hoạt động"
"126","Không tìm thấy","3602987727","Không tồn tại / Lỗi tra cứu"
"127","Không tìm thấy","0314573026","Không tồn tại / Lỗi tra cứu"
"128","Trung tâm kỹ thuật tiêu chuẩn đo lường chất lượng 1","0100111602","Đang hoạt động"
"129","CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI","0311609355-001","Đang hoạt động"
"130","Không tìm thấy","0108491152","Không tồn tại / Lỗi tra cứu"
"131","Không tìm thấy","0100774631-036","Không tồn tại / Lỗi tra cứu"
"132","CÔNG TY CỔ PHẦN HYUNDAI PHẠM VĂN ĐỒNG","0107604519","Đang hoạt động"
"133","CÔNG TY TNHH DỊCH VỤ VÀ GIẢI PHÁP KHOA HỌC SNS","0111018531","Đang hoạt động"
"134","Không tìm thấy","0311526885","Không tồn tại / Lỗi tra cứu"
"135","Không tìm thấy","0100686223","Không tồn tại / Lỗi tra cứu"
"136","CÔNG TY TNHH SẢN XUẤT GIA CÔNG ÉP NHỰA NHẬT Á","0315425856","Đang hoạt động"
"137","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG (NN)","0110682757","Đang hoạt động"
"138","Không tìm thấy","0313168515-006","Không tồn tại / Lỗi tra cứu"
"139","Không tìm thấy","0109275475","Không tồn tại / Lỗi tra cứu"
