"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"99","Không tìm thấy","0315766687","Không tồn tại / Lỗi tra cứu"
"100","CÔNG TY TNHH TOKYO SEISAKUSHO VIỆT NAM","0314385985","Đang hoạt động"
"101","CÔNG TY TNHH THƯƠNG MẠI NỘI THẤT PHÚC THỊNH","0110335506","Đang hoạt động"
"102","Không tìm thấy","2300489000","Không tồn tại / Lỗi tra cứu"
"103","Không tìm thấy","0100107564","Không tồn tại / Lỗi tra cứu"
"104","Không tìm thấy","0105824371","Không tồn tại / Lỗi tra cứu"
"105","Không tìm thấy","2301175173","Không tồn tại / Lỗi tra cứu"
"106","Không tìm thấy","0315149116","Không tồn tại / Lỗi tra cứu"
"107","Không tìm thấy","0310368280","Không tồn tại / Lỗi tra cứu"
"108","Không tìm thấy","0108201093","Không tồn tại / Lỗi tra cứu"
"109","Không tìm thấy","0104777432","Không tồn tại / Lỗi tra cứu"
"110","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"111","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM - CHI NHÁNH THANH XUÂN","0100112437-071","Đang hoạt động"
"112","Không tìm thấy","0301452948","Không tồn tại / Lỗi tra cứu"
"113","Không tìm thấy","3602987727","Không tồn tại / Lỗi tra cứu"
"114","CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ KIM MINH","0314573026","Đang hoạt động"
"115","Trung tâm kỹ thuật tiêu chuẩn đo lường chất lượng 1","0100111602","Đang hoạt động"
"116","Không tìm thấy","0311609355-001","Không tồn tại / Lỗi tra cứu"
"117","Không tìm thấy","0108491152","Không tồn tại / Lỗi tra cứu"
"118","Không tìm thấy","0100774631-036","Không tồn tại / Lỗi tra cứu"
"119","Không tìm thấy","0107604519","Không tồn tại / Lỗi tra cứu"
"120","CÔNG TY TNHH DỊCH VỤ VÀ GIẢI PHÁP KHOA HỌC SNS","0111018531","Đang hoạt động"
"121","CÔNG TY TNHH EUROFINS SẮC KÝ HẢI ĐĂNG","0311526885","Đang hoạt động"
"122","VIỄN THÔNG HÀ NỘI - CHI NHÁNH TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM","0100686223","Đang hoạt động"
"123","CÔNG TY TNHH SẢN XUẤT GIA CÔNG ÉP NHỰA NHẬT Á","0315425856","Đang hoạt động"
"124","Không tìm thấy","0110682757","Không tồn tại / Lỗi tra cứu"
"125","Không tìm thấy","0313168515-006","Không tồn tại / Lỗi tra cứu"
"126","Không tìm thấy","0109275475","Không tồn tại / Lỗi tra cứu"
