"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"96","CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC","2300243293","Đang hoạt động"
"97","CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ - KỸ THUẬT TOÀN ẤN","0303075477","Đang hoạt động"
"98","CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAKATA INX VIỆT NAM TẠI BẮC NINH","0303177976-003","Đang hoạt động"
"99","Không tìm thấy","0315766687","Không tồn tại / Lỗi tra cứu"
"100","Không tìm thấy","0314385985","Không tồn tại / Lỗi tra cứu"
"101","CÔNG TY TNHH THƯƠNG MẠI NỘI THẤT PHÚC THỊNH","0110335506","Đang hoạt động"
"102","CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI BẢO TÍN","2300489000","Đang hoạt động"
"103","CÔNG TY TNHH MTV PETROLIMEX HÀ NỘI","0100107564","Đang hoạt động"
"104","Không tìm thấy","0105824371","Không tồn tại / Lỗi tra cứu"
"105","Không tìm thấy","2301175173","Không tồn tại / Lỗi tra cứu"
"106","CÔNG TY TNHH SẢN XUẤT DỊCH VỤ ĐẦU TƯ TIẾN THỊNH","0315149116","Đang hoạt động"
"107","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ A SA","0310368280","Đang hoạt động"
"108","CÔNG TY TNHH THƯƠNG MẠI GODO","0108201093","Đang hoạt động"
"109","Không tìm thấy","0104777432","Không tồn tại / Lỗi tra cứu"
"110","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"111","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM - CHI NHÁNH THANH XUÂN","0100112437-071","Đang hoạt động"
"112","Không tìm thấy","0301452948","Không tồn tại / Lỗi tra cứu"
"113","Không tìm thấy","3602987727","Không tồn tại / Lỗi tra cứu"
"114","Không tìm thấy","0314573026","Không tồn tại / Lỗi tra cứu"
"115","Trung tâm kỹ thuật tiêu chuẩn đo lường chất lượng 1","0100111602","Đang hoạt động"
"116","CHI NHÁNH CÔNG TY CỔ PHẦN BÁN LẺ KỸ THUẬT SỐ FPT TẠI HÀ NỘI","0311609355-001","Đang hoạt động"
"117","Không tìm thấy","0108491152","Không tồn tại / Lỗi tra cứu"
"118","Không tìm thấy","0100774631-036","Không tồn tại / Lỗi tra cứu"
"119","Không tìm thấy","0107604519","Không tồn tại / Lỗi tra cứu"
"120","CÔNG TY TNHH DỊCH VỤ VÀ GIẢI PHÁP KHOA HỌC SNS","0111018531","Đang hoạt động"
"121","CÔNG TY TNHH EUROFINS SẮC KÝ HẢI ĐĂNG","0311526885","Đang hoạt động"
"122","VIỄN THÔNG HÀ NỘI - CHI NHÁNH TẬP ĐOÀN BƯU CHÍNH VIỄN THÔNG VIỆT NAM","0100686223","Đang hoạt động"
"123","Không tìm thấy","0315425856","Không tồn tại / Lỗi tra cứu"
"124","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG (NN)","0110682757","Đang hoạt động"
"125","CHI NHÁNH CÔNG TY CỔ PHẦN PIZZA 4PS - NHÀ HÀNG PIZZA 4PS TRÀNG TIỀN","0313168515-006","Đang hoạt động"
"126","Không tìm thấy","0109275475","Không tồn tại / Lỗi tra cứu"
